FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Gaby Grossman (D),"Grossman, Gaby",Gaby,Grossman,D,Rockingham,11,Rockingham-11,408918,139,139,0,0,139,0,184,92,100,50,INC,0,50,INC
Rep. James MacKay (D),"MacKay, James",James,MacKay,D,Merrimack,18,Merrimack-18,376028,139,139,0,0,139,0,184,92,100,50,INC,0,50,INC
Rep. Thomas Buco (D),"Buco, Thomas",Thomas,Buco,D,Carroll,1,Carroll-01,376645,139,139,0,0,139,0,184,92,100,50,INC,0,50,INC
Rep. Dale Girard (R),"Girard, Dale",Dale,Girard,R,Sullivan,6,Sullivan-06,409236,139,139,54,56,29,0,184,92,21,50,D+,0,50,D+
Rep. Douglas Trottier (R),"Trottier, Douglas",Douglas,Trottier,R,Belknap,8,Belknap-08,408969,139,139,0,0,139,0,184,92,100,50,INC,-1,50,INC
Rep. Aidan Ankarberg (I),"Ankarberg, Aidan",Aidan,Ankarberg,I,Strafford,7,Strafford-07,409047,139,139,5,7,127,0,184,86,91,46,INC,1,47,INC
Rep. Amy Malone (D),"Malone, Amy",Amy,Malone,D,Strafford,9,Strafford-09,409260,139,139,0,10,129,0,184,82,93,45,INC,0,45,INC
Rep. Myles England (D),"England, Myles",Myles,England,D,Strafford,12,Strafford-12,409227,139,139,1,31,107,0,184,71,77,38,INC,0,38,INC
Rep. Geoffrey Smith (D),"Smith, Geoffrey",Geoffrey,Smith,D,Strafford,21,Strafford-21,409173,139,139,3,49,87,0,184,64,63,35,INC,0,35,INC
Rep. Catherine Sofikitis (D),"Sofikitis, Catherine",Catherine,Sofikitis,D,Hillsborough,7,Hillsborough-07,408546,139,139,2,63,74,0,184,53,53,29,INC,0,29,INC
Rep. Jonah Wheeler (D),"Wheeler, Jonah",Jonah,Wheeler,D,Hillsborough,33,Hillsborough-33,409186,139,139,31,98,10,0,184,49,7,27,D-,-1,26,D-
Rep. Merryl Gibbs (D),"Gibbs, Merryl",Merryl,Gibbs,D,Merrimack,23,Merrimack-23,409101,139,139,4,70,65,0,184,48,47,26,D-,0,26,D-
Rep. Jennifer Mandelbaum (D),"Mandelbaum, Jennifer",Jennifer,Mandelbaum,D,Rockingham,21,Rockingham-21,409203,139,139,26,96,17,0,184,48,12,26,D-,-0,26,D-
Rep. Beth Richards (D),"Richards, Beth",Beth,Richards,D,Merrimack,17,Merrimack-17,408564,139,139,2,70,67,0,184,47,48,26,D-,0,26,D-
Rep. Ellen Read (D),"Read, Ellen",Ellen,Read,D,Rockingham,10,Rockingham-10,408613,139,139,8,85,46,0,184,45,33,24,F,-1,24,F
Rep. Charlie St. Clair (D),"St. Clair, Charlie",Charlie,St. Clair,D,Belknap,5,Belknap-05,408811,139,139,7,82,50,0,184,41,36,22,F,0,22,F
